indices,value,var,var_percentage,high,low,date
BET LEI,13396.47,-50.17,-0.37,13570.38,13368.82,2023-01-01
BET-TR LEI,23857.69,-88.78,-0.37,24167.27,23809.48,2023-01-01
BETPlus LEI,1997.06,-7.17,-0.36,2022.12,1992.99,2023-01-01
BET-FI LEI,52206.19,-29.4,-0.06,52492.54,51977.6,2023-01-01
ROTX LEI,28804.13,-53.81,-0.19,29165.03,28730.19,2023-01-01
BET-XT LEI,1165.82,-4.45,-0.38,1180.02,1163.68,2023-01-01
BET-XT-TR LEI,2072.45,-7.87,-0.38,2097.69,2068.7,2023-01-01
BET-NG LEI,868.89,-6.31,-0.72,882.81,868.41,2023-01-01
BET-BK LEI,2563.67,-15.33,-0.59,2589.9,2560.82,2023-01-01
BET-TRN LEI,23849.93,-88.78,-0.37,24159.41,23801.68,2023-01-01
BET-XT-TRN LEI,2071.95,-7.87,-0.38,2097.19,2068.2,2023-01-01
BET USD,2289.18,-14.56,-0.63,0.0,0.0,2023-01-01
BET-TR USD,18649.7,-118.2,-0.63,0.0,0.0,2023-01-01
BETPlus USD,1463.98,-9.09,-0.62,0.0,0.0,2023-01-01
BET-FI USD,29430.78,-93.34,-0.32,0.0,0.0,2023-01-01
BET-XT USD,682.46,-4.39,-0.64,0.0,0.0,2023-01-01
BET-XT-TR USD,1580.17,-10.14,-0.64,0.0,0.0,2023-01-01
BET-NG USD,508.78,-5.03,-0.98,0.0,0.0,2023-01-01
BET-BK USD,1677.96,-14.43,-0.85,0.0,0.0,2023-01-01
BET-TRN USD,18643.63,-118.18,-0.63,0.0,0.0,2023-01-01
BET-XT-TRN USD,1579.8,-10.13,-0.64,0.0,0.0,2023-01-01
BET EUR,9430.85,-34.36,-0.36,0.0,0.0,2023-01-01
BET-TR EUR,21701.43,-78.55,-0.36,0.0,0.0,2023-01-01
BETPlus EUR,1774.61,-6.19,-0.35,0.0,0.0,2023-01-01
BET-FI EUR,22890.51,-10.58,-0.05,0.0,0.0,2023-01-01
BET-XT EUR,815.26,-3.03,-0.37,0.0,0.0,2023-01-01
BET-XT-TR EUR,1859.55,-6.87,-0.37,0.0,0.0,2023-01-01
BET-NG EUR,608.35,-4.36,-0.71,0.0,0.0,2023-01-01
BET-BK EUR,2204.66,-12.96,-0.58,0.0,0.0,2023-01-01
BET-TRN EUR,21701.43,-78.55,-0.36,0.0,0.0,2023-01-01
BET-XT-TRN EUR,1859.11,-6.87,-0.37,0.0,0.0,2023-01-01
BET LEI,13068.6,65.55,0.5,13086.51,13003.05,2023-01-02
BET-TR LEI,23593.6,118.34,0.5,23625.94,23475.26,2023-01-02
BETPlus LEI,1951.27,8.45,0.43,1953.91,1942.27,2023-01-02
BET-FI LEI,51024.57,12.4,0.02,51447.67,50781.37,2023-01-02
ROTX LEI,28843.58,132.65,0.46,28910.59,28712.99,2023-01-02
BET-XT LEI,1133.94,6.98,0.62,1135.6,1126.96,2023-01-02
BET-XT-TR LEI,2043.32,12.58,0.62,2046.31,2030.74,2023-01-02
BET-NG LEI,911.11,14.69,1.64,911.55,896.42,2023-01-02
BET-BK LEI,2436.73,16.01,0.66,2441.73,2420.72,2023-01-02
BET-TRN LEI,23567.84,118.21,0.5,23600.15,23449.63,2023-01-02
BET-XT-TRN LEI,2041.27,12.57,0.62,2044.26,2028.7,2023-01-02
BET USD,2138.33,6.72,0.32,0.0,0.0,2023-01-02
BET-TR USD,17660.22,55.51,0.32,0.0,0.0,2023-01-02
BETPlus USD,1369.67,3.37,0.25,0.0,0.0,2023-01-02
BET-FI USD,27543.45,-45.12,-0.16,0.0,0.0,2023-01-02
BET-XT USD,635.62,2.72,0.43,0.0,0.0,2023-01-02
BET-XT-TR USD,1491.82,6.39,0.43,0.0,0.0,2023-01-02
BET-NG USD,510.84,7.29,1.45,0.0,0.0,2023-01-02
BET-BK USD,1527.16,7.18,0.47,0.0,0.0,2023-01-02
BET-TRN USD,17640.96,55.45,0.32,0.0,0.0,2023-01-02
BET-XT-TRN USD,1490.32,6.39,0.43,0.0,0.0,2023-01-02
BET EUR,9207.67,49.15,0.54,0.0,0.0,2023-01-02
BET-TR EUR,21479.02,114.65,0.54,0.0,0.0,2023-01-02
BETPlus EUR,1735.39,8.07,0.47,0.0,0.0,2023-01-02
BET-FI EUR,22390.95,12.69,0.06,0.0,0.0,2023-01-02
BET-XT EUR,793.62,5.14,0.65,0.0,0.0,2023-01-02
BET-XT-TR EUR,1834.97,11.89,0.65,0.0,0.0,2023-01-02
BET-NG EUR,638.43,10.5,1.67,0.0,0.0,2023-01-02
BET-BK EUR,2097.25,14.45,0.69,0.0,0.0,2023-01-02
BET-TRN EUR,21479.02,114.65,0.54,0.0,0.0,2023-01-02
BET-XT-TRN EUR,1833.12,11.88,0.65,0.0,0.0,2023-01-02
BET LEI,11563.5,4.44,0.04,11627.8,11539.35,2023-01-03
BET-TR LEI,22491.82,8.6,0.04,22616.97,22444.93,2023-01-03
BETPlus LEI,1728.65,1.11,0.06,1738.35,1725.1,2023-01-03
BET-FI LEI,48559.68,-28.44,-0.06,48877.81,48479.63,2023-01-03
ROTX LEI,26012.97,15.77,0.06,26153.82,25955.74,2023-01-03
BET-XT LEI,1009.89,0.64,0.06,1015.49,1007.96,2023-01-03
BET-XT-TR LEI,1951.88,1.24,0.06,1962.71,1948.14,2023-01-03
BET-NG LEI,859.87,1.69,0.2,868.69,857.19,2023-01-03
BET-BK LEI,2151.66,-0.26,-0.01,2163.55,2148.17,2023-01-03
BET-TRN LEI,22379.52,8.56,0.04,22504.04,22332.86,2023-01-03
BET-XT-TRN LEI,1942.81,1.23,0.06,1953.59,1939.1,2023-01-03
BET USD,1807.78,0.51,0.03,0.0,0.0,2023-01-03
BET-TR USD,16085.87,4.47,0.03,0.0,0.0,2023-01-03
BETPlus USD,1159.36,0.62,0.05,0.0,0.0,2023-01-03
BET-FI USD,25045.64,-17.28,-0.07,0.0,0.0,2023-01-03
BET-XT USD,540.93,0.29,0.05,0.0,0.0,2023-01-03
BET-XT-TR USD,1361.56,0.72,0.05,0.0,0.0,2023-01-03
BET-NG USD,460.59,0.86,0.19,0.0,0.0,2023-01-03
BET-BK USD,1288.5,-0.29,-0.02,0.0,0.0,2023-01-03
BET-TRN USD,16005.53,4.45,0.03,0.0,0.0,2023-01-03
BET-XT-TRN USD,1355.29,0.72,0.05,0.0,0.0,2023-01-03
BET EUR,8152.29,-18.71,-0.23,0.0,0.0,2023-01-03
BET-TR EUR,20488.87,-47.06,-0.23,0.0,0.0,2023-01-03
BETPlus EUR,1538.39,-3.13,-0.2,0.0,0.0,2023-01-03
BET-FI EUR,21322.71,-69.67,-0.33,0.0,0.0,2023-01-03
BET-XT EUR,707.31,-1.45,-0.2,0.0,0.0,2023-01-03
BET-XT-TR EUR,1753.99,-3.58,-0.2,0.0,0.0,2023-01-03
BET-NG EUR,602.93,-0.43,-0.07,0.0,0.0,2023-01-03
BET-BK EUR,1853.04,-5.19,-0.28,0.0,0.0,2023-01-03
BET-TRN EUR,20488.87,-47.06,-0.23,0.0,0.0,2023-01-03
BET-XT-TRN EUR,1745.69,-3.57,-0.2,0.0,0.0,2023-01-03
BET LEI,11575.78,12.28,0.11,11619.83,11553.52,2023-01-04
BET-TR LEI,22515.97,24.15,0.11,22601.72,22472.91,2023-01-04
BETPlus LEI,1730.11,1.46,0.08,1736.38,1726.86,2023-01-04
BET-FI LEI,49525.05,965.37,1.99,49825.48,48526.43,2023-01-04
ROTX LEI,26040.59,27.62,0.11,26150.01,25968.06,2023-01-04
BET-XT LEI,1014.17,4.28,0.42,1018.08,1009.89,2023-01-04
BET-XT-TR LEI,1960.17,8.29,0.42,1967.73,1951.88,2023-01-04
BET-NG LEI,862.61,2.74,0.32,868.54,857.88,2023-01-04
BET-BK LEI,2165.31,13.65,0.63,2171.87,2151.33,2023-01-04
BET-TRN LEI,22403.54,24.02,0.11,22488.85,22360.68,2023-01-04
BET-XT-TRN LEI,1951.06,8.25,0.42,1958.59,1942.81,2023-01-04
BET USD,1830.05,22.27,1.23,0.0,0.0,2023-01-04
BET-TR USD,16284.26,198.39,1.23,0.0,0.0,2023-01-04
BETPlus USD,1173.39,14.03,1.21,0.0,0.0,2023-01-04
BET-FI USD,25830.84,785.2,3.14,0.0,0.0,2023-01-04
BET-XT USD,549.33,8.4,1.55,0.0,0.0,2023-01-04
BET-XT-TR USD,1382.72,21.16,1.55,0.0,0.0,2023-01-04
BET-NG USD,467.25,6.66,1.45,0.0,0.0,2023-01-04
BET-BK USD,1311.26,22.76,1.77,0.0,0.0,2023-01-04
BET-TRN USD,16202.92,197.39,1.23,0.0,0.0,2023-01-04
BET-XT-TRN USD,1376.35,21.06,1.55,0.0,0.0,2023-01-04
BET EUR,8173.53,21.24,0.26,0.0,0.0,2023-01-04
BET-TR EUR,20542.48,53.61,0.26,0.0,0.0,2023-01-04
BETPlus EUR,1542.06,3.67,0.24,0.0,0.0,2023-01-04
BET-FI EUR,21780.13,457.42,2.15,0.0,0.0,2023-01-04
BET-XT EUR,711.4,4.09,0.58,0.0,0.0,2023-01-04
BET-XT-TR EUR,1764.15,10.16,0.58,0.0,0.0,2023-01-04
BET-NG EUR,605.78,2.85,0.47,0.0,0.0,2023-01-04
BET-BK EUR,1867.67,14.63,0.79,0.0,0.0,2023-01-04
BET-TRN EUR,20542.48,53.61,0.26,0.0,0.0,2023-01-04
BET-XT-TRN EUR,1755.81,10.12,0.58,0.0,0.0,2023-01-04
BET LEI,11730.66,200.45,1.74,11730.66,11530.21,2023-01-05
BET-TR LEI,22817.4,389.73,1.74,22817.4,22427.67,2023-01-05
BETPlus LEI,1751.63,28.7,1.67,1751.63,1722.93,2023-01-05
BET-FI LEI,49855.59,488.7,0.99,49855.59,49236.62,2023-01-05
ROTX LEI,26356.39,473.48,1.83,26359.19,25899.13,2023-01-05
BET-XT LEI,1027.2,16.46,1.63,1027.2,1010.74,2023-01-05
BET-XT-TR LEI,1985.37,31.8,1.63,1985.37,1953.57,2023-01-05
BET-NG LEI,877.69,12.46,1.44,878.6,865.23,2023-01-05
BET-BK LEI,2189.66,24.37,1.13,2189.66,2165.29,2023-01-05
BET-TRN LEI,22703.46,387.79,1.74,22703.46,22315.67,2023-01-05
BET-XT-TRN LEI,1976.13,31.65,1.63,1976.13,1944.48,2023-01-05
BET USD,1854.81,18.52,1.01,0.0,0.0,2023-01-05
BET-TR USD,16504.7,164.66,1.01,0.0,0.0,2023-01-05
BETPlus USD,1188.16,11.02,0.94,0.0,0.0,2023-01-05
BET-FI USD,26007.09,68.81,0.27,0.0,0.0,2023-01-05
BET-XT USD,556.48,4.96,0.9,0.0,0.0,2023-01-05
BET-XT-TR USD,1400.7,12.47,0.9,0.0,0.0,2023-01-05
BET-NG USD,475.48,3.36,0.71,0.0,0.0,2023-01-05
BET-BK USD,1326.2,5.28,0.4,0.0,0.0,2023-01-05
BET-TRN USD,16422.26,163.84,1.01,0.0,0.0,2023-01-05
BET-XT-TRN USD,1394.25,12.42,0.9,0.0,0.0,2023-01-05
BET EUR,8303.94,155.48,1.91,0.0,0.0,2023-01-05
BET-TR EUR,20870.4,390.62,1.91,0.0,0.0,2023-01-05
BETPlus EUR,1565.21,28.21,1.84,0.0,0.0,2023-01-05
BET-FI EUR,21981.22,251.69,1.16,0.0,0.0,2023-01-05
BET-XT EUR,722.37,12.76,1.8,0.0,0.0,2023-01-05
BET-XT-TR EUR,1791.38,31.63,1.8,0.0,0.0,2023-01-05
BET-NG EUR,617.94,9.79,1.61,0.0,0.0,2023-01-05
BET-BK EUR,1893.47,24.19,1.29,0.0,0.0,2023-01-05
BET-TRN EUR,20870.4,390.62,1.91,0.0,0.0,2023-01-05
BET-XT-TRN EUR,1782.9,31.48,1.8,0.0,0.0,2023-01-05
BET LEI,12306.27,187.12,1.54,12315.5,12119.15,2023-01-06
BET-TR LEI,23936.04,363.5,1.54,23954.11,23572.54,2023-01-06
BETPlus LEI,1836.16,28.31,1.57,1837.52,1807.85,2023-01-06
BET-FI LEI,50710.13,250.74,0.5,50779.38,50280.64,2023-01-06
ROTX LEI,27682.56,436.42,1.6,27697.23,27269.48,2023-01-06
BET-XT LEI,1071.34,13.79,1.3,1071.9,1057.55,2023-01-06
BET-XT-TR LEI,2070.61,26.62,1.3,2071.7,2043.99,2023-01-06
BET-NG LEI,905.78,11.69,1.31,906.51,894.09,2023-01-06
BET-BK LEI,2272.5,19.3,0.86,2274.32,2252.92,2023-01-06
BET-TRN LEI,23816.55,361.71,1.54,23834.53,23454.84,2023-01-06
BET-XT-TRN LEI,2060.98,26.5,1.3,2062.06,2034.48,2023-01-06
BET USD,1969.89,26.71,1.37,0.0,0.0,2023-01-06
BET-TR USD,17528.04,237.37,1.37,0.0,0.0,2023-01-06
BETPlus USD,1260.91,17.37,1.4,0.0,0.0,2023-01-06
BET-FI USD,26780.1,87.93,0.33,0.0,0.0,2023-01-06
BET-XT USD,587.57,6.59,1.13,0.0,0.0,2023-01-06
BET-XT-TR USD,1478.92,16.58,1.13,0.0,0.0,2023-01-06
BET-NG USD,496.76,5.59,1.14,0.0,0.0,2023-01-06
BET-BK USD,1393.4,9.53,0.69,0.0,0.0,2023-01-06
BET-TRN USD,17440.52,236.2,1.37,0.0,0.0,2023-01-06
BET-XT-TRN USD,1472.1,16.5,1.13,0.0,0.0,2023-01-06
BET EUR,8721.69,146.75,1.71,0.0,0.0,2023-01-06
BET-TR EUR,21919.43,368.41,1.71,0.0,0.0,2023-01-06
BETPlus EUR,1642.68,27.99,1.73,0.0,0.0,2023-01-06
BET-FI EUR,22384.39,147.35,0.66,0.0,0.0,2023-01-06
BET-XT EUR,754.3,10.93,1.47,0.0,0.0,2023-01-06
BET-XT-TR EUR,1870.5,27.09,1.47,0.0,0.0,2023-01-06
BET-NG EUR,638.47,9.28,1.47,0.0,0.0,2023-01-06
BET-BK EUR,1967.42,19.92,1.02,0.0,0.0,2023-01-06
BET-TRN EUR,21919.43,368.41,1.71,0.0,0.0,2023-01-06
BET-XT-TRN EUR,1861.65,26.96,1.47,0.0,0.0,2023-01-06
BET LEI,12228.85,-77.42,-0.63,12345.76,12163.24,2023-01-07
BET-TR LEI,23785.4,-150.64,-0.63,24012.67,23657.97,2023-01-07
BETPlus LEI,1825.78,-10.38,-0.57,1841.31,1816.25,2023-01-07
BET-FI LEI,51152.92,442.79,0.87,51158.58,50643.53,2023-01-07
ROTX LEI,27474.64,-207.92,-0.75,27762.14,27319.44,2023-01-07
BET-XT LEI,1065.63,-5.71,-0.53,1074.48,1060.64,2023-01-07
BET-XT-TR LEI,2059.56,-11.05,-0.53,2076.66,2049.94,2023-01-07
BET-NG LEI,899.93,-5.85,-0.65,907.71,895.05,2023-01-07
BET-BK LEI,2266.42,-6.08,-0.27,2280.69,2256.19,2023-01-07
BET-TRN LEI,23666.67,-149.88,-0.63,23892.81,23539.86,2023-01-07
BET-XT-TRN LEI,2049.98,-11.0,-0.53,2067.01,2040.4,2023-01-07
BET USD,1956.2,-13.69,-0.69,0.0,0.0,2023-01-07
BET-TR USD,17406.2,-121.84,-0.7,0.0,0.0,2023-01-07
BETPlus USD,1252.95,-7.96,-0.63,0.0,0.0,2023-01-07
BET-FI USD,26996.06,215.96,0.81,0.0,0.0,2023-01-07
BET-XT USD,584.05,-3.52,-0.6,0.0,0.0,2023-01-07
BET-XT-TR USD,1470.05,-8.87,-0.6,0.0,0.0,2023-01-07
BET-NG USD,493.22,-3.54,-0.71,0.0,0.0,2023-01-07
BET-BK USD,1388.75,-4.65,-0.33,0.0,0.0,2023-01-07
BET-TRN USD,17319.29,-121.23,-0.7,0.0,0.0,2023-01-07
BET-XT-TRN USD,1463.27,-8.83,-0.6,0.0,0.0,2023-01-07
BET EUR,8656.25,-65.44,-0.75,0.0,0.0,2023-01-07
BET-TR EUR,21754.91,-164.52,-0.75,0.0,0.0,2023-01-07
BETPlus EUR,1631.4,-11.28,-0.69,0.0,0.0,2023-01-07
BET-FI EUR,22552.3,167.91,0.75,0.0,0.0,2023-01-07
BET-XT EUR,749.36,-4.94,-0.65,0.0,0.0,2023-01-07
BET-XT-TR EUR,1858.25,-12.25,-0.65,0.0,0.0,2023-01-07
BET-NG EUR,633.57,-4.9,-0.77,0.0,0.0,2023-01-07
BET-BK EUR,1959.76,-7.66,-0.39,0.0,0.0,2023-01-07
BET-TRN EUR,21754.91,-164.52,-0.75,0.0,0.0,2023-01-07
BET-XT-TRN EUR,1849.46,-12.19,-0.65,0.0,0.0,2023-01-07
BET LEI,12152.46,-76.39,-0.62,12298.6,12142.76,2023-01-08
BET-TR LEI,23637.09,-148.31,-0.62,23921.17,23618.4,2023-01-08
BETPlus LEI,1816.57,-9.21,-0.5,1836.23,1815.39,2023-01-08
BET-FI LEI,51123.87,-29.05,-0.06,51990.01,50936.12,2023-01-08
ROTX LEI,27212.67,-261.97,-0.95,27629.42,27170.43,2023-01-08
BET-XT LEI,1060.09,-5.54,-0.52,1072.59,1059.58,2023-01-08
BET-XT-TR LEI,2049.29,-10.27,-0.5,2073.44,2048.31,2023-01-08
BET-NG LEI,895.61,-4.32,-0.48,903.85,891.17,2023-01-08
BET-BK LEI,2262.73,-3.69,-0.16,2282.03,2261.46,2023-01-08
BET-TRN LEI,23519.09,-147.58,-0.62,23801.75,23500.48,2023-01-08
BET-XT-TRN LEI,2039.73,-10.25,-0.5,2063.77,2038.75,2023-01-08
BET USD,1943.27,-12.93,-0.66,0.0,0.0,2023-01-08
BET-TR USD,17291.39,-114.81,-0.66,0.0,0.0,2023-01-08
BETPlus USD,1246.18,-6.77,-0.54,0.0,0.0,2023-01-08
BET-FI USD,26970.94,-25.12,-0.09,0.0,0.0,2023-01-08
BET-XT USD,580.8,-3.25,-0.56,0.0,0.0,2023-01-08
BET-XT-TR USD,1462.19,-7.86,-0.53,0.0,0.0,2023-01-08
BET-NG USD,490.67,-2.55,-0.52,0.0,0.0,2023-01-08
BET-BK USD,1385.99,-2.76,-0.2,0.0,0.0,2023-01-08
BET-TRN USD,17205.05,-114.24,-0.66,0.0,0.0,2023-01-08
BET-XT-TRN USD,1455.43,-7.84,-0.54,0.0,0.0,2023-01-08
BET EUR,8601.13,-55.12,-0.64,0.0,0.0,2023-01-08
BET-TR EUR,21616.62,-138.29,-0.64,0.0,0.0,2023-01-08
BETPlus EUR,1622.97,-8.43,-0.52,0.0,0.0,2023-01-08
BET-FI EUR,22536.74,-15.56,-0.07,0.0,0.0,2023-01-08
BET-XT EUR,745.37,-3.99,-0.53,0.0,0.0,2023-01-08
BET-XT-TR EUR,1848.76,-9.49,-0.51,0.0,0.0,2023-01-08
BET-NG EUR,630.45,-3.12,-0.49,0.0,0.0,2023-01-08
BET-BK EUR,1956.33,-3.43,-0.18,0.0,0.0,2023-01-08
BET-TRN EUR,21616.62,-138.29,-0.64,0.0,0.0,2023-01-08
BET-XT-TRN EUR,1839.99,-9.47,-0.51,0.0,0.0,2023-01-08
BET LEI,12206.4,-46.58,-0.38,12276.54,12184.38,2023-01-09
BET-TR LEI,23742.05,-90.53,-0.38,23878.34,23699.06,2023-01-09
BETPlus LEI,1823.55,-7.24,-0.4,1832.75,1819.35,2023-01-09
BET-FI LEI,50823.84,-408.76,-0.8,51404.77,50580.12,2023-01-09
ROTX LEI,27333.35,-105.27,-0.38,27483.1,27285.48,2023-01-09
BET-XT LEI,1063.44,-4.4,-0.41,1069.19,1061.62,2023-01-09
BET-XT-TR LEI,2055.74,-8.5,-0.41,2066.86,2052.21,2023-01-09
BET-NG LEI,906.6,-0.19,-0.02,908.33,902.17,2023-01-09
BET-BK LEI,2259.57,-12.71,-0.56,2275.56,2255.48,2023-01-09
BET-TRN LEI,23623.51,-90.09,-0.38,23759.13,23580.75,2023-01-09
BET-XT-TRN LEI,2046.15,-8.46,-0.41,2057.22,2042.64,2023-01-09
BET USD,1959.76,-9.55,-0.48,0.0,0.0,2023-01-09
BET-TR USD,17438.15,-84.89,-0.48,0.0,0.0,2023-01-09
BETPlus USD,1256.01,-6.31,-0.5,0.0,0.0,2023-01-09
BET-FI USD,26920.68,-245.04,-0.9,0.0,0.0,2023-01-09
BET-XT USD,584.98,-3.04,-0.52,0.0,0.0,2023-01-09
BET-XT-TR USD,1472.71,-7.64,-0.52,0.0,0.0,2023-01-09
BET-NG USD,498.69,-0.63,-0.13,0.0,0.0,2023-01-09
BET-BK USD,1389.63,-9.29,-0.66,0.0,0.0,2023-01-09
BET-TRN USD,17351.06,-84.48,-0.48,0.0,0.0,2023-01-09
BET-XT-TRN USD,1465.89,-7.61,-0.52,0.0,0.0,2023-01-09
BET EUR,8622.83,-46.1,-0.53,0.0,0.0,2023-01-09
BET-TR EUR,21671.19,-115.79,-0.53,0.0,0.0,2023-01-09
BETPlus EUR,1626.1,-8.94,-0.55,0.0,0.0,2023-01-09
BET-FI EUR,22361.75,-214.2,-0.95,0.0,0.0,2023-01-09
BET-XT EUR,746.3,-4.23,-0.56,0.0,0.0,2023-01-09
BET-XT-TR EUR,1851.04,-10.49,-0.56,0.0,0.0,2023-01-09
BET-NG EUR,636.97,-1.1,-0.17,0.0,0.0,2023-01-09
BET-BK EUR,1949.87,-13.96,-0.71,0.0,0.0,2023-01-09
BET-TRN EUR,21671.19,-115.79,-0.53,0.0,0.0,2023-01-09
BET-XT-TRN EUR,1842.26,-10.44,-0.56,0.0,0.0,2023-01-09
BET LEI,12107.95,-98.45,-0.81,12221.85,12077.77,2023-01-10
BET-TR LEI,23550.49,-191.56,-0.81,23772.03,23491.59,2023-01-10
BETPlus LEI,1809.05,-14.5,-0.8,1825.47,1804.61,2023-01-10
BET-FI LEI,50976.16,152.32,0.3,51309.34,50415.94,2023-01-10
ROTX LEI,27132.82,-200.53,-0.73,27378.91,27059.95,2023-01-10
BET-XT LEI,1057.78,-5.66,-0.53,1064.77,1053.61,2023-01-10
BET-XT-TR LEI,2044.78,-10.96,-0.53,2058.3,2036.7,2023-01-10
BET-NG LEI,903.06,-3.54,-0.39,907.77,900.43,2023-01-10
BET-BK LEI,2257.18,-2.39,-0.11,2266.15,2244.85,2023-01-10
BET-TRN LEI,23432.91,-190.6,-0.81,23653.34,23374.31,2023-01-10
BET-XT-TRN LEI,2035.24,-10.91,-0.53,2048.7,2027.2,2023-01-10
BET USD,1937.44,-22.32,-1.14,0.0,0.0,2023-01-10
BET-TR USD,17239.45,-198.7,-1.14,0.0,0.0,2023-01-10
BETPlus USD,1241.84,-14.17,-1.13,0.0,0.0,2023-01-10
BET-FI USD,26910.82,-9.86,-0.04,0.0,0.0,2023-01-10
BET-XT USD,579.92,-5.06,-0.86,0.0,0.0,2023-01-10
BET-XT-TR USD,1459.95,-12.76,-0.87,0.0,0.0,2023-01-10
BET-NG USD,495.08,-3.61,-0.72,0.0,0.0,2023-01-10
BET-BK USD,1383.51,-6.12,-0.44,0.0,0.0,2023-01-10
BET-TRN USD,17153.36,-197.7,-1.14,0.0,0.0,2023-01-10
BET-XT-TRN USD,1453.18,-12.71,-0.87,0.0,0.0,2023-01-10
BET EUR,8548.43,-74.4,-0.86,0.0,0.0,2023-01-10
BET-TR EUR,21484.13,-187.06,-0.86,0.0,0.0,2023-01-10
BETPlus EUR,1612.25,-13.85,-0.85,0.0,0.0,2023-01-10
BET-FI EUR,22416.03,54.28,0.24,0.0,0.0,2023-01-10
BET-XT EUR,741.91,-4.39,-0.59,0.0,0.0,2023-01-10
BET-XT-TR EUR,1840.13,-10.91,-0.59,0.0,0.0,2023-01-10
BET-NG EUR,634.12,-2.85,-0.45,0.0,0.0,2023-01-10
BET-BK EUR,1946.7,-3.17,-0.16,0.0,0.0,2023-01-10
BET-TRN EUR,21484.13,-187.06,-0.86,0.0,0.0,2023-01-10
BET-XT-TRN EUR,1831.4,-10.86,-0.59,0.0,0.0,2023-01-10
BET LEI,11931.6,-176.35,-1.46,12120.1,11931.6,2023-01-11
BET-TR LEI,23207.9,-342.59,-1.45,23574.16,23207.9,2023-01-11
BETPlus LEI,1781.43,-27.62,-1.53,1810.75,1781.43,2023-01-11
BET-FI LEI,49852.78,-1123.38,-2.2,50976.16,49852.78,2023-01-11
ROTX LEI,26690.31,-442.51,-1.63,27169.1,26425.0,2023-01-11
BET-XT LEI,1041.71,-16.07,-1.52,1058.75,1041.71,2023-01-11
BET-XT-TR LEI,2013.76,-31.02,-1.52,2046.66,2013.76,2023-01-11
BET-NG LEI,890.54,-12.52,-1.39,905.39,884.7,2023-01-11
BET-BK LEI,2227.28,-29.9,-1.32,2258.51,2227.28,2023-01-11
BET-TRN LEI,23092.01,-340.9,-1.45,23456.46,23092.01,2023-01-11
BET-XT-TRN LEI,2004.36,-30.88,-1.52,2037.11,2004.36,2023-01-11
BET USD,1933.84,-3.6,-0.19,0.0,0.0,2023-01-11
BET-TR USD,17207.71,-31.74,-0.18,0.0,0.0,2023-01-11
BETPlus USD,1238.65,-3.19,-0.26,0.0,0.0,2023-01-11
BET-FI USD,26657.1,-253.72,-0.94,0.0,0.0,2023-01-11
BET-XT USD,578.47,-1.45,-0.25,0.0,0.0,2023-01-11
BET-XT-TR USD,1456.34,-3.61,-0.25,0.0,0.0,2023-01-11
BET-NG USD,494.51,-0.57,-0.12,0.0,0.0,2023-01-11
BET-BK USD,1382.79,-0.72,-0.05,0.0,0.0,2023-01-11
BET-TRN USD,17121.76,-31.6,-0.18,0.0,0.0,2023-01-11
BET-XT-TRN USD,1449.58,-3.6,-0.25,0.0,0.0,2023-01-11
BET EUR,8435.21,-113.22,-1.32,0.0,0.0,2023-01-11
BET-TR EUR,21199.97,-284.16,-1.32,0.0,0.0,2023-01-11
BETPlus EUR,1589.76,-22.49,-1.39,0.0,0.0,2023-01-11
BET-FI EUR,21951.42,-464.61,-2.07,0.0,0.0,2023-01-11
BET-XT EUR,731.62,-10.29,-1.39,0.0,0.0,2023-01-11
BET-XT-TR EUR,1814.64,-25.49,-1.39,0.0,0.0,2023-01-11
BET-NG EUR,626.17,-7.95,-1.25,0.0,0.0,2023-01-11
BET-BK EUR,1923.49,-23.21,-1.19,0.0,0.0,2023-01-11
BET-TRN EUR,21199.97,-284.16,-1.32,0.0,0.0,2023-01-11
BET-XT-TRN EUR,1806.03,-25.37,-1.39,0.0,0.0,2023-01-11
BET LEI,11914.53,-17.07,-0.14,11977.92,11883.69,2023-01-12
BET-TR LEI,23174.22,-33.68,-0.15,23297.82,23114.34,2023-01-12
BETPlus LEI,1780.03,-1.4,-0.08,1788.75,1775.51,2023-01-12
BET-FI LEI,49929.65,76.87,0.15,50390.15,49677.99,2023-01-12
ROTX LEI,26635.26,-55.05,-0.21,26799.83,26540.56,2023-01-12
BET-XT LEI,1039.64,-2.07,-0.2,1046.05,1037.19,2023-01-12
BET-XT-TR LEI,2009.72,-4.04,-0.2,2022.13,2005.01,2023-01-12
BET-NG LEI,884.35,-6.19,-0.7,893.45,881.81,2023-01-12
BET-BK LEI,2221.06,-6.22,-0.28,2235.99,2216.71,2023-01-12
BET-TRN LEI,23058.52,-33.49,-0.15,23181.49,22998.94,2023-01-12
BET-XT-TRN LEI,2000.34,-4.02,-0.2,2012.69,1995.66,2023-01-12
BET USD,1926.36,-7.48,-0.39,0.0,0.0,2023-01-12
BET-TR USD,17140.84,-66.87,-0.39,0.0,0.0,2023-01-12
BETPlus USD,1234.66,-3.99,-0.32,0.0,0.0,2023-01-12
BET-FI USD,26633.1,-24.0,-0.09,0.0,0.0,2023-01-12
BET-XT USD,575.91,-2.56,-0.44,0.0,0.0,2023-01-12
BET-XT-TR USD,1449.87,-6.47,-0.44,0.0,0.0,2023-01-12
BET-NG USD,489.88,-4.63,-0.94,0.0,0.0,2023-01-12
BET-BK USD,1375.57,-7.22,-0.52,0.0,0.0,2023-01-12
