info,value_mil_ron,value_mil_usd,value_mil_eur,volume,trades,date
Total trading,9357698358.77,2053477805.29,1890176815.14,145692141,64690,2023-04-27
Market Cap,214840.4,47207.29,43367.06,0,0,2023-04-28
Cap Excluding SIF and FP,198282.6,43569.02,40024.75,0,0,2023-04-28
Cap SIF and FP,16557.8,3638.28,3342.31,0,0,2023-04-28
Total trading equites Shares,46581699.5,10235486.59,9402846.08,30520402,6735,2023-04-28
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-04-28
Total trading Bonds,3141916.68,690379.41,634218.14,11507,178,2023-04-28
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-04-28
Total trading Units,597532.11,131296.88,120616.09,36538,312,2023-04-28
Total trading Structured,2504997.86,550428.0,505651.56,544116,536,2023-04-28
Total trading Futures,0.0,0.0,0.0,0,0,2023-04-28
Total trading,52826146.15,11607590.88,10663331.88,31112563,7761,2023-04-28
Market Cap,216306.06,48102.22,43697.31,0,0,2023-04-29
Cap Excluding SIF and FP,199724.01,44414.7,40347.47,0,0,2023-04-29
Cap SIF and FP,16582.05,3687.52,3349.84,0,0,2023-04-29
Total trading equites Shares,58975440.74,13114979.7,11913989.76,26825324,6560,2023-04-29
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-04-29
Total trading Bonds,1560355.63,346992.44,315216.99,8752,162,2023-04-29
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-04-29
Total trading Units,670975.93,149211.87,135547.95,47858,369,2023-04-29
Total trading Structured,1567368.83,348552.04,316633.77,407430,443,2023-04-29
Total trading Futures,0.0,0.0,0.0,0,0,2023-04-29
Total trading,62774141.13,13959736.06,12681388.47,27289364,7534,2023-04-29
Market Cap,267062.34,59470.09,53941.09,0,0,2023-04-30
Cap Excluding SIF and FP,250362.35,55751.3,50568.04,0,0,2023-04-30
Cap SIF and FP,16700.0,3718.8,3373.06,0,0,2023-04-30
Total trading equites Shares,819078794.25,182394458.38,165437041.86,39961272,22345,2023-04-30
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-04-30
Total trading Bonds,2102612.86,468214.95,424684.48,10968,231,2023-04-30
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-04-30
Total trading Units,796480.67,177362.25,160872.69,50231,521,2023-04-30
Total trading Structured,4488629.94,999539.03,906610.77,1069329,987,2023-04-30
Total trading Futures,0.0,0.0,0.0,0,0,2023-04-30
Total trading,826466517.72,184039574.61,166929209.79,41091800,24084,2023-04-30
Market Cap,267963.08,60560.74,54202.94,0,0,2023-05-01
Cap Excluding SIF and FP,251241.09,56781.5,50820.46,0,0,2023-05-01
Cap SIF and FP,16722.0,3779.24,3382.49,0,0,2023-05-01
Total trading equites Shares,311902170.31,70491145.23,63090836.88,59980298,14005,2023-05-01
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-01
Total trading Bonds,2600015.43,587613.95,525925.0,16376,225,2023-05-01
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-01
Total trading Units,630845.31,142573.58,127605.9,37959,388,2023-05-01
Total trading Structured,2902166.93,655901.4,587043.49,1029708,697,2023-05-01
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-01
Total trading,318035197.98,71877234.15,64331411.28,61064341,15315,2023-05-01
Market Cap,269611.98,61329.81,54570.7,0,0,2023-05-02
Cap Excluding SIF and FP,252887.82,57525.49,51185.65,0,0,2023-05-02
Cap SIF and FP,16724.15,3804.32,3385.05,0,0,2023-05-02
Total trading equites Shares,150327805.21,34195720.11,30427034.2,25004591,8983,2023-05-02
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-02
Total trading Bonds,8855157.04,2014321.11,1792324.22,66047,510,2023-05-02
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-02
Total trading Units,485314.37,110396.57,98229.84,30619,369,2023-05-02
Total trading Structured,1988129.73,452248.52,402406.53,789849,431,2023-05-02
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-02
Total trading,161656406.35,36772686.32,32719994.8,25891106,10293,2023-05-02
Market Cap,272067.29,61953.16,55091.08,0,0,2023-05-03
Cap Excluding SIF and FP,255340.76,58144.32,51704.11,0,0,2023-05-03
Cap SIF and FP,16726.52,3808.84,3386.96,0,0,2023-05-03
Total trading equites Shares,406813771.54,92636632.48,82375978.84,37084004,8468,2023-05-03
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-03
Total trading Bonds,4765170.98,1085089.6,964902.5,24151,276,2023-05-03
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-03
Total trading Units,426861.34,97201.72,86435.42,22419,250,2023-05-03
Total trading Structured,2710167.4,617139.33,548783.51,683245,540,2023-05-03
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-03
Total trading,414715971.27,94436063.13,83976100.28,37813819,9534,2023-05-03
Market Cap,272796.47,61952.73,55149.39,0,0,2023-05-04
Cap Excluding SIF and FP,256134.18,58168.69,51780.89,0,0,2023-05-04
Cap SIF and FP,16662.29,3784.05,3368.5,0,0,2023-05-04
Total trading equites Shares,106286125.51,24137834.24,21487137.47,38494826,8939,2023-05-04
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-04
Total trading Bonds,2828575.77,642376.35,571833.77,16703,295,2023-05-04
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-04
Total trading Units,340771.61,77390.05,68891.46,18595,274,2023-05-04
Total trading Structured,3369740.93,765276.25,681237.42,1569237,640,2023-05-04
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-04
Total trading,112825213.82,25622876.88,22809100.13,40099361,10148,2023-05-04
Market Cap,274812.05,62370.81,55626.59,0,0,2023-05-05
Cap Excluding SIF and FP,258212.2,58603.35,52266.5,0,0,2023-05-05
Cap SIF and FP,16599.85,3767.47,3360.09,0,0,2023-05-05
Total trading equites Shares,91029420.3,20659862.53,18425889.17,35725358,7622,2023-05-05
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-05
Total trading Bonds,6648604.29,1508954.47,1345789.58,19189,212,2023-05-05
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-05
Total trading Units,390465.41,88619.28,79036.78,21393,214,2023-05-05
Total trading Structured,1992977.54,452322.35,403412.25,849552,452,2023-05-05
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-05
Total trading,100061467.54,22709758.63,20254127.79,36615492,8500,2023-05-05
Market Cap,274623.75,61888.44,55617.75,0,0,2023-05-06
Cap Excluding SIF and FP,258027.54,58148.36,52256.63,0,0,2023-05-06
Cap SIF and FP,16596.2,3740.07,3361.12,0,0,2023-05-06
Total trading equites Shares,47541926.19,10713914.94,9628354.53,21962575,5817,2023-05-06
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-06
Total trading Bonds,2621282.92,590724.95,530871.24,13361,182,2023-05-06
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-06
Total trading Units,392119.91,88367.04,79413.47,23805,283,2023-05-06
Total trading Structured,1375927.82,310075.23,278657.64,353553,382,2023-05-06
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-06
Total trading,51931256.84,11703082.17,10517296.88,22353294,6664,2023-05-06
Market Cap,273807.94,61476.0,55654.28,0,0,2023-05-07
Cap Excluding SIF and FP,257330.11,57776.36,52305.0,0,0,2023-05-07
Cap SIF and FP,16477.83,3699.64,3349.29,0,0,2023-05-07
Total trading equites Shares,65131695.98,14623520.05,13238687.74,22409752,6392,2023-05-07
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-07
Total trading Bonds,1898020.7,426148.03,385792.25,8463,178,2023-05-07
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-07
Total trading Units,480807.98,107952.13,97729.17,25738,294,2023-05-07
Total trading Structured,1154652.97,259245.37,234695.1,660214,320,2023-05-07
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-07
Total trading,68665177.62,15416865.58,13956904.26,23104167,7184,2023-05-07
Market Cap,272275.6,61164.91,55237.28,0,0,2023-05-08
Cap Excluding SIF and FP,255680.46,57436.92,51870.58,0,0,2023-05-08
Cap SIF and FP,16595.13,3727.99,3366.7,0,0,2023-05-08
Total trading equites Shares,61002214.27,13703743.52,12375682.52,21224280,5483,2023-05-08
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-08
Total trading Bonds,1641825.69,368825.27,333081.57,9460,174,2023-05-08
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-08
Total trading Units,198631.51,44621.25,40296.91,11856,169,2023-05-08
Total trading Structured,1622535.65,364491.89,329168.15,567444,449,2023-05-08
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-08
Total trading,64465207.12,14481681.92,13078229.14,21813040,6275,2023-05-08
Market Cap,273536.57,61761.74,55500.98,0,0,2023-05-09
Cap Excluding SIF and FP,256853.57,57994.89,52115.97,0,0,2023-05-09
Cap SIF and FP,16683.0,3766.85,3385.01,0,0,2023-05-09
Total trading equites Shares,65894922.65,14878394.78,13370178.07,53538058,8818,2023-05-09
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-09
Total trading Bonds,10554825.37,2383170.85,2141589.81,25538,138,2023-05-09
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-09
Total trading Units,267981.49,60507.46,54373.84,18059,234,2023-05-09
Total trading Structured,2510961.98,566949.35,509477.93,1033599,628,2023-05-09
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-09
Total trading,79228691.49,17889022.43,16075619.65,54615254,9818,2023-05-09
Market Cap,274825.2,61148.36,55720.61,0,0,2023-05-10
Cap Excluding SIF and FP,258092.91,57425.44,52328.15,0,0,2023-05-10
Cap SIF and FP,16732.29,3722.92,3392.46,0,0,2023-05-10
Total trading equites Shares,120050356.82,26711097.54,24340123.43,45102236,7997,2023-05-10
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-10
Total trading Bonds,2259511.46,502739.29,458114.32,13812,155,2023-05-10
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-10
Total trading Units,305773.59,68034.35,61995.38,19846,235,2023-05-10
Total trading Structured,1701935.97,378679.23,345066.29,685390,471,2023-05-10
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-10
Total trading,124317577.84,27660550.42,25205299.42,45821284,8858,2023-05-10
Market Cap,275312.29,61574.59,55792.22,0,0,2023-05-11
Cap Excluding SIF and FP,258490.25,57812.28,52383.22,0,0,2023-05-11
Cap SIF and FP,16822.04,3762.31,3409.0,0,0,2023-05-11
Total trading equites Shares,79465849.41,17772823.72,16103807.68,31313555,7878,2023-05-11
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-11
Total trading Bonds,2410868150.58,539199353.77,488564047.86,10939863,19297,2023-05-11
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-11
Total trading Units,549487.52,122894.86,111354.01,28877,323,2023-05-11
Total trading Structured,1985109.12,443976.81,402283.69,1204926,438,2023-05-11
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-11
Total trading,2492868596.63,557539049.16,505181493.25,43487221,27936,2023-05-11
Market Cap,275243.01,61214.08,55791.75,0,0,2023-05-12
Cap Excluding SIF and FP,258411.16,57470.68,52379.93,0,0,2023-05-12
Cap SIF and FP,16831.85,3743.41,3411.82,0,0,2023-05-12
Total trading equites Shares,59013223.57,13124549.32,11961978.26,22771962,7342,2023-05-12
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-12
Total trading Bonds,1168346.35,259840.39,236823.76,6753,136,2023-05-12
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-12
Total trading Units,449255.18,99914.42,91064.01,25716,331,2023-05-12
Total trading Structured,2509734.4,558165.28,508723.07,786840,470,2023-05-12
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-12
Total trading,63140559.51,14042469.41,12798589.1,23591271,8279,2023-05-12
Market Cap,271659.31,60105.61,55011.81,0,0,2023-05-13
Cap Excluding SIF and FP,254887.63,56394.81,51615.49,0,0,2023-05-13
Cap SIF and FP,16771.68,3710.79,3396.31,0,0,2023-05-13
Total trading equites Shares,97008260.9,21463429.18,19644457.67,23206575,9557,2023-05-13
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-13
Total trading Bonds,4496844.43,994943.12,910624.2,16423,265,2023-05-13
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-13
Total trading Units,659832.5,145990.33,133618.02,38239,498,2023-05-13
Total trading Structured,3348251.04,740812.67,678030.66,1008494,726,2023-05-13
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-13
Total trading,105513188.88,23345175.31,21366730.56,24269731,11046,2023-05-13
Market Cap,271330.54,60148.65,54825.33,0,0,2023-05-14
Cap Excluding SIF and FP,254450.9,56406.76,51414.61,0,0,2023-05-14
Cap SIF and FP,16879.64,3741.89,3410.72,0,0,2023-05-14
Total trading equites Shares,40045058.87,8877202.14,8091545.53,11203919,6134,2023-05-14
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-14
Total trading Bonds,3138281.79,695695.36,634124.43,16816,289,2023-05-14
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-14
Total trading Units,369890.76,81997.51,74740.5,21393,393,2023-05-14
Total trading Structured,2482016.38,550214.22,501518.76,1239030,593,2023-05-14
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-14
Total trading,46035247.79,10205109.23,9301929.23,12481158,7409,2023-05-14
Market Cap,265907.6,58674.64,53810.02,0,0,2023-05-15
Cap Excluding SIF and FP,248989.12,54941.44,50386.34,0,0,2023-05-15
Cap SIF and FP,16918.49,3733.2,3423.69,0,0,2023-05-15
Total trading equites Shares,55009088.93,12138195.66,11131837.65,27009870,8007,2023-05-15
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-15
Total trading Bonds,2293728.44,506129.53,464167.16,18140,194,2023-05-15
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-15
Total trading Units,239672.66,52885.69,48501.02,15243,276,2023-05-15
Total trading Structured,4426233.48,976683.83,895708.57,1121209,600,2023-05-15
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-15
Total trading,61968723.5,13673894.72,12540214.4,28164462,9077,2023-05-15
Market Cap,267870.01,59163.8,54254.35,0,0,2023-05-16
Cap Excluding SIF and FP,250902.24,55416.17,50817.7,0,0,2023-05-16
Cap SIF and FP,16967.77,3747.63,3436.65,0,0,2023-05-16
Total trading equites Shares,35814736.03,7910313.63,7253911.25,16082701,4996,2023-05-16
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-16
Total trading Bonds,1548520.06,342017.86,313637.02,7115,162,2023-05-16
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-16
Total trading Units,234540.24,51802.33,47503.75,13849,168,2023-05-16
Total trading Structured,2518818.88,556325.4,510161.19,513997,494,2023-05-16
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-16
Total trading,40116615.21,8860459.22,8125213.21,16617662,5820,2023-05-16
Market Cap,266981.44,58438.35,54039.36,0,0,2023-05-17
Cap Excluding SIF and FP,249917.86,54703.38,50585.54,0,0,2023-05-17
Cap SIF and FP,17063.58,3734.97,3453.82,0,0,2023-05-17
Total trading equites Shares,61484930.22,13458155.72,12445082.52,19730779,4940,2023-05-17
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-17
Total trading Bonds,6963862.19,1524288.01,1409546.03,57806,156,2023-05-17
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-17
Total trading Units,154365.74,33788.41,31244.96,10200,155,2023-05-17
Total trading Structured,1446565.91,316632.2,292797.47,389335,402,2023-05-17
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-17
Total trading,70049724.06,15332864.34,14178670.99,20188120,5653,2023-05-17
Market Cap,267580.39,58846.38,54226.44,0,0,2023-05-18
Cap Excluding SIF and FP,250629.28,55118.49,50791.22,0,0,2023-05-18
Cap SIF and FP,16951.11,3727.9,3435.22,0,0,2023-05-18
Total trading equites Shares,52732665.68,11596988.34,10686526.63,15390666,4931,2023-05-18
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-18
Total trading Bonds,3035756.75,667624.8,615210.61,12167,182,2023-05-18
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-18
Total trading Units,108478.26,23856.58,21983.64,6564,126,2023-05-18
Total trading Structured,4938278.92,1086028.22,1000765.81,1296579,679,2023-05-18
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-18
Total trading,60815179.6,13374497.94,12324486.69,16705976,5918,2023-05-18
Market Cap,267040.65,58346.59,54069.95,0,0,2023-05-19
Cap Excluding SIF and FP,250048.93,54634.01,50629.49,0,0,2023-05-19
Cap SIF and FP,16991.73,3712.58,3440.46,0,0,2023-05-19
Total trading equites Shares,50629836.37,11062278.53,10251444.96,16673881,5057,2023-05-19
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-19
Total trading Bonds,5927912.19,1295208.92,1200273.79,46987,208,2023-05-19
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-19
Total trading Units,140591.14,30718.22,28466.66,9293,161,2023-05-19
Total trading Structured,2573315.84,562252.19,521040.7,1084796,643,2023-05-19
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-19
Total trading,59271655.54,12950457.85,12001226.11,17814957,6069,2023-05-19
Market Cap,269324.29,58960.2,54565.48,0,0,2023-05-20
Cap Excluding SIF and FP,252306.62,55234.71,51117.67,0,0,2023-05-20
Cap SIF and FP,17017.68,3725.49,3447.8,0,0,2023-05-20
Total trading equites Shares,34161328.4,7478563.1,6921133.02,13128961,4425,2023-05-20
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-20
Total trading Bonds,2535743.73,555122.42,513745.23,14710,230,2023-05-20
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-20
Total trading Units,299526.41,65572.02,60684.47,15662,171,2023-05-20
Total trading Structured,2234268.54,489123.78,452665.94,499364,550,2023-05-20
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-20
Total trading,39230867.08,8588381.32,7948228.66,13658697,5376,2023-05-20
Market Cap,272971.79,59589.12,55184.83,0,0,2023-05-21
Cap Excluding SIF and FP,256045.24,55894.09,51762.91,0,0,2023-05-21
Cap SIF and FP,16926.55,3695.03,3421.92,0,0,2023-05-21
Total trading equites Shares,63657909.95,13896376.24,12869283.32,24540415,5598,2023-05-21
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-21
Total trading Bonds,3151750.96,688020.03,637167.89,21237,174,2023-05-21
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-21
Total trading Units,479448.6,104662.53,96926.84,26472,295,2023-05-21
Total trading Structured,1830057.61,399497.39,369970.2,1522285,318,2023-05-21
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-21
Total trading,69119167.12,15088556.2,13973348.24,26110409,6385,2023-05-21
Market Cap,271396.67,58967.23,54837.58,0,0,2023-05-22
Cap Excluding SIF and FP,254548.04,55306.47,51433.2,0,0,2023-05-22
Cap SIF and FP,16848.63,3660.76,3404.38,0,0,2023-05-22
Total trading equites Shares,82307699.06,17883258.89,16630841.78,38165462,8045,2023-05-22
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-22
Total trading Bonds,1939190.43,421334.15,391826.88,13540,199,2023-05-22
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-22
Total trading Units,365153.99,79338.18,73781.9,20080,321,2023-05-22
Total trading Structured,1507203.5,327474.96,304540.92,517986,388,2023-05-22
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-22
Total trading,86119246.98,18711406.18,17400991.48,38717068,8953,2023-05-22
Market Cap,274463.01,59356.19,55318.56,0,0,2023-05-23
Cap Excluding SIF and FP,257178.7,55618.23,51834.87,0,0,2023-05-23
Cap SIF and FP,17284.32,3737.96,3483.69,0,0,2023-05-23
Total trading equites Shares,209973348.27,45409461.13,42320537.79,82677696,8575,2023-05-23
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-23
Total trading Bonds,3105149.18,671528.8,625848.87,17057,209,2023-05-23
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-23
Total trading Units,460996.34,99696.44,92914.71,25483,246,2023-05-23
Total trading Structured,3805687.54,823029.31,767043.74,1307886,650,2023-05-23
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-23
Total trading,217345181.33,47003715.68,43806345.12,84028122,9680,2023-05-23
Market Cap,264076.07,56986.64,53206.82,0,0,2023-05-24
Cap Excluding SIF and FP,256770.04,55410.02,51734.78,0,0,2023-05-24
Cap SIF and FP,7306.04,1576.62,1472.04,0,0,2023-05-24
Total trading equites Shares,73656718.14,15894846.38,14840570.22,113207641,10498,2023-05-24
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-24
Total trading Bonds,6024261.08,1300013.18,1213785.68,19227,244,2023-05-24
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-24
Total trading Units,845305.98,182413.89,170314.71,42863,273,2023-05-24
Total trading Structured,5972009.06,1288737.38,1203257.78,1485557,1036,2023-05-24
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-24
Total trading,86498294.25,18666010.83,17427928.39,114755288,12051,2023-05-24
Market Cap,264351.21,56999.27,53250.45,0,0,2023-05-25
Cap Excluding SIF and FP,256995.7,55413.28,51768.77,0,0,2023-05-25
Cap SIF and FP,7355.51,1585.99,1481.68,0,0,2023-05-25
Total trading equites Shares,42505449.21,9165002.63,8562224.12,35038024,6710,2023-05-25
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-25
Total trading Bonds,8159603.41,1759369.4,1643656.39,33873,289,2023-05-25
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-25
Total trading Units,319319.77,68851.56,64323.22,22270,295,2023-05-25
Total trading Structured,2529417.41,545391.65,509521.46,466026,543,2023-05-25
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-25
Total trading,53513789.8,11538615.24,10779725.19,35560193,7837,2023-05-25
Market Cap,266762.51,57628.54,53717.78,0,0,2023-05-26
Cap Excluding SIF and FP,259361.03,56029.6,52227.35,0,0,2023-05-26
Cap SIF and FP,7401.48,1598.94,1490.43,0,0,2023-05-26
Total trading equites Shares,63803246.23,13783375.72,12848015.75,40607246,8253,2023-05-26
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-05-26
Total trading Bonds,12055948.5,2604439.08,2427698.04,33138,321,2023-05-26
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-05-26
Total trading Units,596562.47,128875.02,120129.37,31940,497,2023-05-26
Total trading Structured,1655922.0,357727.8,333451.87,707160,505,2023-05-26
Total trading Futures,0.0,0.0,0.0,0,0,2023-05-26
Total trading,78111679.2,16874417.62,15729295.04,41379484,9576,2023-05-26
